created_at,text,username
2021-12-09 08:05:14+00:00,"Terima kasih, JKT48, karena telah menghabiskan 843 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/n47rUUSiqN'",Ghesid Turangga
2021-12-09 08:00:00+00:00,Lagu apa yang paling banyak kamu jogetin di tahun 2021? Cek aja #SpotifyWrapped punyamu sekarang! https://t.co/UohHg4oH7H',Spotify Indonesia
2021-12-09 07:52:26+00:00,"Jadi, tiap tahunnya, Spotify membuat #SpotifyWrapped, sebuah kilas balik atas aktifitas kita di Spotify selama setahun terakhir. \n\nMulai dari lagu yang paling sering diputar, sampai podcast yang paling sering didengar.'",Hadzami Fayad
2021-12-09 07:50:14+00:00,"Terima kasih, Tulus, karena telah menghabiskan 98 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/YrONDCAJdk'",Ronaldi Tumanggor
2021-12-09 07:28:59+00:00,"Terima kasih, @onedirection, karena telah menghabiskan 121 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/pi9yjtgjuD'",ca⁷
2021-12-09 07:26:39+00:00,"Terima kasih, @Alesana, karena telah menghabiskan 1.737 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/DGA8zufM3m'",ibanez
2021-12-09 07:24:30+00:00,"Terima kasih, Gerap Gurita, karena telah menghabiskan 367 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/sQJVp2J4PO'",Dub Dempul David
2021-12-09 05:50:37+00:00,Luluh akan ke ademan suara doyoung.. \n#SpotifyWrapped https://t.co/TbZ80m0kQp',🌹Ca ¹²⁷
2021-12-09 05:44:16+00:00,"Untuk podcast terfavorit saya di 2021, @rintiksedupod: terima kasih telah menemani saya di @Spotify sepanjang tahun! #SpotifyWrapped https://t.co/H38wcbzgED'",hooman
2021-12-09 04:57:53+00:00,"Terima kasih, NDX A.K.A., karena telah menghabiskan 1.140 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/0kHf2iS6R8'",Nces🌿
2021-12-09 04:45:32+00:00,Ini Kilas Balik 2021 saya! Terima kasih atas semua cinta di tahun ini. #SpotifyWrapped #2021PodcasterWrapped https://t.co/ll41qnCC2B',Suka makan
2021-12-09 04:41:44+00:00,"Terima kasih, iKON, karena telah menghabiskan 3.197 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/h23QIIdUwh'",gksdydans
2021-12-09 04:40:35+00:00,#SpotifyWrapped\n\nyaiyalah @BTS_twt mendominasi huhu https://t.co/5z3OoKN30M',hanadulset⁷ 🌌
2021-12-09 04:30:17+00:00,Artis teratas saya di 2021. Siapa artis teratasmu? #SpotifyWrapped \nhttps://t.co/psYCcDMFZN',🤸🏼🤸🏼
2021-12-09 04:28:13+00:00,"Terima kasih, @bts_bighit, karena telah menghabiskan 20.093 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/moxsWOjHmL'",Agnesfbriel
2021-12-09 04:15:47+00:00,"Terima kasih, Nosstress, karena telah menghabiskan 809 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/5Y6ZtLyb03'",semangat🤟
2021-12-09 04:08:05+00:00,"Terima kasih, Last Child, karena telah menemani setaiap perjalanan saya di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/7MlOBpKK3d'",widafa
2021-12-09 03:48:56+00:00,Ini Kilas Balik 2021 Museum HAM Munir! Terima kasih atas semua cinta di tahun ini. #SpotifyWrapped #2021PodcasterWrapped https://t.co/HW4qIYEu2Z',Museum HAM Munir
2021-12-09 03:40:38+00:00,"Thank uuuu, @justinbieber, becaus udah ngabisin 2.035 menit sama aku tahun ini di @Spotify. you are #1 saya. #SpotifyWrapped https://t.co/ftPDdMz3xP'",Taz 💜
2021-12-09 03:37:56+00:00,"Untuk podcast terfavorit saya di 2021, AGAK LAEN!: terima kasih telah menemani saya di @Spotify sepanjang tahun! #SpotifyWrapped https://t.co/zf7LNa8evS'",Rachmat Zia Ulhaq
2021-12-09 03:19:32+00:00,"Terima kasih, @yoasobi_staff, karena telah menghabiskan 8.271 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/jSCHXH0fKs'",Satrio Ramadhany
2021-12-09 03:12:34+00:00,Lagu teratas saya di 2021. Kalau kamu? #SpotifyWrapped \nhttps://t.co/WvGY4erMi1',naca(²)ㅡslow UAS
2021-12-09 03:05:18+00:00,Ga pake jeans jadi normal abis di 2021 ini. Pengen tau yang lainnya? Cek #SpotifyWrapped! @ganggaksm https://t.co/LZP9byLWJh',Spotify Indonesia
2021-12-09 02:58:45+00:00,"Untuk podcast terfavorit saya di 2021, Shift Media : terima kasih telah menemani saya di @Spotify sepanjang tahun! #SpotifyWrapped https://t.co/D1KsLykZsY'",Xi.pa
2021-12-09 02:26:58+00:00,"Untuk podcast terfavorit saya di 2021, Hanan Attaki Podcast: terima kasih telah menemani saya di @Spotify sepanjang tahun! #SpotifyWrapped https://t.co/5HoAGufcqx'",Kai
2021-12-09 02:13:29+00:00,"Terima kasih, @pledis_17, karena telah menghabiskan 3.419 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/j9KanDZhjO'",Thereallee🍊💙
2021-12-09 01:46:46+00:00,"Terima kasih, Earl Sweatshirt, karena telah menghabiskan 1.132 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/olRmx8kDod'",Asw
2021-12-09 01:38:22+00:00,"Untuk podcast terfavorit saya di 2021, @rintiksedupod: terima kasih telah menemani saya di @Spotify sepanjang tahun! #SpotifyWrapped https://t.co/CjKifrIq4e\n\nMantap pausssss\xf0\x9f\x98\x8a\xf0\x9f\x91\x8a\xe2\x9c\x8c'",Salsa Eliza Putri
2021-12-09 01:27:26+00:00,Ini Kilas Balik 2021 saya! Terima kasih atas semua cinta di tahun ini. #SpotifyWrapped #2021PodcasterWrapped https://t.co/r06zhZzpRS',Ponakan Bupati
2021-12-09 01:17:46+00:00,liat ini ram @mejakebalik\n#SpotifyWrapped versi blend https://t.co/JIA6TosgX4',fey 🥀
2021-12-09 01:10:15+00:00,"Terima kasih, @keshimusic, karena telah menghabiskan 975 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/0MKanLDB5f'",na🌻 °
2021-12-09 00:45:01+00:00,"Perasaan sering dengernya Light a Flame, taunya Do Re Mi \xf0\x9f\x98\x84 #SpotifyWrapped \nhttps://t.co/QGjEPeanyC'",; マリ🐱
2021-12-09 00:19:42+00:00,"Untuk podcast terfavorit saya di 2021, @pod_malamkliwon Podcast Malam Kliwon: terima kasih telah menemani saya di @Spotify sepanjang tahun! #SpotifyWrapped https://t.co/4b97A8P6Mp'",たぶん
2021-12-08 23:02:42+00:00,"Terima kasih, @burgerkill, karena telah menghabiskan 1.174 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/2QYNorbHYI'",バユ
2021-12-08 22:20:07+00:00,"@simamaung Untuk podcast terfavorit saya di 2021, Simamaung Podcast: terima kasih telah menemani saya di @Spotify sepanjang tahun! #SpotifyWrapped https://t.co/IWPnjIpdDO'",Soo Lee Hin
2021-12-08 22:01:55+00:00,#Daddy by Tulisa @officialtulisa \n\n#NowPlaying #Spotify #SpotifyWrapped\n#SpotifyWrapped2021 https://t.co/vFcHfqUtCH',TULISA ~fan page~ 📀 #Daddy 💿 #Sippin'
